company,invoice_num,invoice_date,operation_date,amount,reporter,notes,status,kind
" Monterail, Inc.",M49425,18-11-2013,09-11-2013,14643.9,Zella Reichert IV,Debitis expedita maiores dolores.,rejected,""
 Wesoła Gżegżółka,W56000,2013-05-12,2013-05-06,12784.60,Willa Littel,Exercitationem et omnis ipsa aperiam.,other,client;Important;Delegation;Other
 Wesoła Gżegżółka,W13827,2013-11-10,2013-11-02,19208.42,Jaclyn Hane I,Aspernatur placeat et nemo officiis corrupti repudiandae laboriosam.,other,important;Other;Delegation
TT Internet,T18717,15-07-2013,12-07-2013,11482.59,Estel Abshire II,"Earum libero temporibus ab porro eos quia.
Quas et placeat neque ad vitae vel omnis.
Nemo ipsa sint.
Et eaque expedita accusamus nemo distinctio.",accepted,delegation;client;internal
MS Szpadel,M81646,2013-07-19,2013-07-10,16807.60,Shanel Bahringer,Vitae laborum earum quo sapiente assumenda harum.,rejected,delegation;other
MS Szpadel,M74237,25-05-2015,23-05-2015,11936.25,Mrs. Lawson Kemmer,Autem itaque iure ea rerum assumenda voluptates.,other,""
Comcast,C6190,18-07-2014,13-07-2014,15321.98,Amelie Stoltenberg,"Magnam dolorem error repellat tenetur dolor veritatis possimus.
Tenetur velit voluptas quasi.
Dolore qui nulla vitae sequi explicabo.",rejected,other;delegation;internal;Client;negligible
 ACME,A62552,17-03-2014,16-03-2014,18715.78,Nellie Wisoky,"Distinctio harum vel.
Vel error itaque molestiae dignissimos.",other,Client
Company X,C28027,07-02-2015,07-02-2015,18594.5,Quinten Rohan DVM,"Porro nostrum aut nobis est.
Accusantium labore minima quod nulla illum sit.
Nihil officia illo repellendus.
Inventore vel sed eius sint.",accepted,""
Comcast,C39439,2014-12-06,2014-12-01,19875.96,Stephania Blick,Ab voluptas nemo fuga consequuntur inventore ut.,accepted,negligible;Client;other;important;delegation
 Big Company 1,B26418,21-06-2014,21-06-2014,13575.68,Ms. Presley Mann,Ea sed sunt et fugiat.,rejected,important;client
KT Koty,K60283,2014-11-12,2014-11-09,19795.32,Lorenzo Marvin,Dolores hic aliquid ex aliquam et placeat illum.,other,Delegation
 Comcast,C50185,07/04/2014,06/25/2014,14285.47,Melvin Kshlerin,Aut quasi officia quas.,accepted,Delegation;important;client;internal
MS Szpadel,M86316,13-05-2014,08-05-2014,11568.4,Aiden Bosco,"Eius quibusdam eveniet.
Illo eligendi non ut quasi.
At nulla ut sunt.
Laudantium rerum velit itaque minima sit sed provident.",rejected,internal;Important;client;other;negligible
Comcast,C91040,2012-10-31,2012-10-30,10422.64,Juana Jenkins,Adipisci ut excepturi quis voluptas rem sint rerum.,accepted,""
 TT Internet,T78756,09/12/2012,09/09/2012,12311.39,Vivianne Hammes,"Occaecati iusto eos tempora deleniti dicta.
Harum omnis quibusdam excepturi officiis natus non.",other,negligible
MS Szpadel,M38074,2014-03-20,2014-03-11,12010.31,Ms. Jayne Mertz,Ex perferendis aperiam.,accepted,Important;Negligible;delegation;other
SB Komputery,S2592,2013-07-23,2013-07-14,17199.53,Tobin O'Conner PhD,Ipsa pariatur illo error facere ut quis ipsum.,accepted,negligible;internal
 Ostrzy Entertainment,O35398,25-06-2013,18-06-2013,16851.84,Meaghan Hickle,"Rerum at veritatis quaerat voluptatibus omnis quibusdam facilis.
Nisi delectus et vero quo est.
Quis aliquam sed.",other,important;Internal;Delegation
Microsoft,M1675,03-01-2013,29-12-2012,18510.29,Krystal Labadie,"Est deleniti nihil.
Maiores ullam accusamus.
Consequuntur debitis et.",other,internal;Important;client
 SB Komputery,S44320,31-01-2013,27-01-2013,18035.19,Jammie Lockman III,Aut adipisci molestiae sit repellendus.,other,internal;other;important
Big Company 1,B67941,2015-03-28,2015-03-25,12152.4,Mr. Ethan Murray,"Minus ad molestias sunt corrupti cumque.
Culpa omnis temporibus.
Alias est distinctio at delectus quidem.
Dolores vitae nihil.",accepted,""
SB Komputery,S5812,07-08-2013,06-08-2013,14332.78,Jakayla Prohaska,Consectetur vel consequuntur id nostrum debitis sed porro.,accepted,other;negligible;important
Company X,C67874,22-03-2013,14-03-2013,15623.9,Sharon Turcotte,Quis et ipsam sit ut.,rejected,""
TT Internet,T75629,11/18/2014,11/17/2014,17750.51,Mrs. Emory Simonis,Sequi itaque recusandae et ex quae omnis.,rejected,negligible;Other;internal;important
 BP Biznes,B14279,05/31/2013,05/29/2013,13839.32,Mr. Angeline Stanton,Est voluptatem voluptatem eius aut earum ex vero.,accepted,Negligible;important;Delegation;internal
TT Internet,T82323,23-03-2013,23-03-2013,10599.14,Charlie Vandervort,"Suscipit velit officia.
Ea quia doloribus.",other,internal;other;negligible;important
"Monterail, Inc.",M48357,12/03/2013,12/01/2013,16352.15,Sedrick Wolff,"Animi modi ut eligendi ab blanditiis quis.
Incidunt qui voluptatem maxime rerum illum in qui.
Qui laboriosam provident quos non.",other,Delegation;internal
 Comcast,C17302,03/04/2014,02/26/2014,17416.73,Kyler Hegmann DDS,Suscipit non rem autem.,rejected,internal
 Comcast,C15212,18-09-2013,17-09-2013,11497.46,Herminia Nikolaus DDS,Labore ab in omnis consequatur est dolore.,accepted,Delegation
 MS Szpadel,M82886,11/01/2014,10/26/2014,14342.35,Joanie Orn PhD,Natus animi officiis recusandae est.,accepted,delegation;Important;other;negligible;client
 KT Koty,K70737,17-05-2015,11-05-2015,10795.26,Katherine Sawayn,Et itaque quia ratione magnam voluptas id.,accepted,Important
SB Komputery,S21379,06/18/2013,06/15/2013,19670.28,Destini Price,Ipsam aut nam.,accepted,Internal;important;other;Delegation;client
MS Szpadel,M57523,03/25/2015,03/20/2015,14557.8,Ms. Jaylan Baumbach,Ut nisi quibusdam sit temporibus laudantium.,other,Negligible;Delegation
SB Komputery,S1250,01-03-2013,01-03-2013,16471.79,Carolina Klocko,"Doloribus velit nihil.
Dolor sunt unde voluptatem quidem.
Mollitia sequi quos.",accepted,important;Other;negligible;client;Delegation
TT Internet,T12729,06/29/2014,06/22/2014,19801.58,Sibyl McGlynn,Dolores inventore necessitatibus qui.,rejected,""
TT Internet,T67022,09-04-2013,04-04-2013,15753.91,Belle Greenholt,"Quos est et.
Inventore ut temporibus voluptatum.
Illo voluptatibus dicta voluptatem.",other,internal;client;other;Important
Comcast,C66297,2014-03-21,2014-03-13,12138.67,Anika Durgan,Eligendi consequuntur quaerat aut.,rejected,Important;Other;negligible;Client;delegation
ACME,A70188,2014-06-27,2014-06-21,13649.83,Leonardo Lynch IV,Ut temporibus voluptas vero.,accepted,negligible
Company X,C14891,11-10-2014,09-10-2014,13369.81,Augusta Marquardt,Esse adipisci repellat illum voluptatem.,other,Important
 TT Internet,T95178,2014-10-09,2014-10-07,11467.65,Izaiah Bailey PhD,Id repellendus dolores.,other,internal;delegation;negligible;Important;other
 BP Biznes,B31791,08/23/2014,08/23/2014,17203.35,Ms. Kyra Spinka,Molestiae fuga ipsam perspiciatis voluptate optio.,other,Client;other;important;internal
SB Komputery,S89730,2013-12-29,2013-12-22,14794.57,Armand Miller,A et vel facere libero rerum excepturi.,accepted,negligible;important;Delegation;other
 KT Koty,K49170,2013-02-03,2013-01-29,11566.5,Blair Greenholt,Qui minus cumque ut placeat.,other,
Comcast,C54070,16-02-2015,10-02-2015,16895.13,Mrs. Precious Sawayn,"Expedita ut consequuntur impedit itaque.
Ut suscipit voluptas.",other,Client;negligible;Delegation;Internal
 Company X,C22985,29-04-2013,28-04-2013,14071.69,Jerad Nolan Sr.,Quo ducimus voluptatem et et et iure.,other,Negligible
 Ostrzy Entertainment,O39709,2015-04-25,2015-04-16,18882.20,Gladyce Fisher,"Minus provident quia minima ipsam praesentium.
Aliquam omnis natus sint earum repudiandae omnis.",other,internal;Other
Ostrzy Entertainment,O38006,24-02-2014,17-02-2014,14980.1,Nikita Hilpert,Ut totam ut.,other,Delegation;internal;negligible
 Comcast,C29706,2014-01-14,2014-01-07,10019.37,Dolly Mohr MD,Consequatur facere occaecati autem repudiandae mollitia voluptas inventore.,other,""
 KT Koty,K70234,2013-06-03,2013-06-02,10175.57,Carmine Hickle Sr.,"Libero doloribus ullam modi.
Exercitationem aperiam veniam dolor et qui repellat magnam.",accepted,Negligible
Big Company 1,B86732,2015-03-03,2015-02-24,17774.41,Adrain Gusikowski,"Voluptas blanditiis quia ipsa minus beatae occaecati et.
Mollitia omnis voluptatem quidem occaecati rem eaque.
Velit dolorem optio perferendis quasi asperiores.
Velit voluptatibus repellat in quasi sapiente beatae.",rejected,internal;other;negligible
BP Biznes,B37746,13-03-2015,13-03-2015,17853.34,Yazmin Harvey,Id dolorem dolorem commodi.,accepted,important;internal;client;delegation
KT Koty,K95335,2013-03-27,2013-03-18,19997.82,Esmeralda Gutkowski,Voluptates minima aut iusto.,rejected,negligible
ACME,A96872,18-02-2015,09-02-2015,,Mrs. Aletha Wisoky,"Optio minima possimus dolores.
Ducimus aut minima ut dolorem qui.
Sequi facere velit.
Voluptatem sed voluptatem eaque nobis voluptas numquam repudiandae.",accepted,important;internal;other
 TT Internet,T92449,10/16/2014,10/10/2014,13766.24,Justyn Halvorson,"At modi quis alias quidem suscipit qui.
Modi libero cumque quia et maxime ab labore.",accepted,""
 Ostrzy Entertainment,O50442,2014-05-28,2014-05-25,14513.55,Marty Nicolas DVM,Nulla ut illum eligendi magnam nobis.,accepted,""
 ACME,A34829,24-12-2012,23-12-2012,19695.4,Josiah White,Quis laboriosam ea nostrum eum.,other,delegation;important
ACME,A17706,10/18/2013,10/17/2013,12656.46,Hudson Hintz,Accusantium et dolor ducimus aut distinctio recusandae ut.,rejected,delegation;internal;Important
TT Internet,T86218,10/23/2014,10/17/2014,15535.69,Mckayla Hilpert,Tenetur ex omnis quia nobis voluptatibus facilis.,accepted,negligible;Client
KT Koty,K75596,2013-07-21,2013-07-18,10504.85,Eliseo Schiller,"Aut et eum.
Est aperiam rerum aliquam aut id.
Sed et quam nesciunt.
Sit fugiat omnis et eum facilis eum.",other,Negligible;other;important;client;internal
ACME,A48540,09/02/2013,09/01/2013,16688.7,Dariana Thompson,Quis rem eum molestias.,other,negligible;important;internal;other;client
Microsoft,M85356,05/13/2015,05/11/2015,18276.53,Keshawn Mueller,Eligendi soluta ut.,accepted,important;internal
Big Company 1,B32256,08-12-2014,05-12-2014,11724.43,Michele Hermann MD,"Fugit velit dolor omnis.
Ut non repellat nihil consequatur quo et ut.",other,internal
BP Biznes,B27582,01/17/2015,01/14/2015,16877.8,Julie Sawayn,,other,Other;internal
 Comcast,C96225,2014-07-11,2014-07-11,19020.55,Karl Rath I,Expedita nobis eligendi architecto quia eveniet.,rejected,other;important;internal;delegation
 KT Koty,K49590,2012-12-20,2012-12-11,11552.49,Reynold Yundt,"Rerum aliquid est impedit rem sunt omnis.
Earum occaecati aperiam fugit dolor temporibus.
Omnis error quae perferendis.
Rerum et incidunt hic quo ipsa qui.",other,important;client
 Comcast,C51333,2014-07-09,2014-07-07,15053.31,Mr. Randy O'Kon,Voluptas perferendis excepturi animi qui quis.,rejected,internal
Ostrzy Entertainment,O59792,08-05-2015,29-04-2015,10626.26,Kali Flatley IV,Sed sequi est non consequatur minus.,rejected,delegation;Important;client;other
 SB Komputery,S40022,2014-12-26,2014-12-22,11625.96,Alisa Welch Sr.,Nesciunt quis rem voluptatem quia quia modi.,accepted,delegation;Client;internal
 Company X,C52935,22-02-2015,22-02-2015,10554.30,Alexanne Mohr,Laborum ut numquam voluptatem quia aut.,rejected,Other
"Monterail, Inc.",M60352,2013-12-28,2013-12-24,18392.24,Lew Pollich,Suscipit sint et.,rejected,internal;Negligible
 Company X,C41139,11-09-2012,11-09-2012,18834.24,Hermina Mohr,"Magni dolor eos velit maiores qui aliquam.
Consequuntur accusantium aliquid error sequi.",other,Important
 Comcast,C12224,02-05-2013,23-04-2013,15344.63,Enola Beatty III,Natus illum iste et itaque architecto dolor.,accepted,internal;Negligible;Important
 ACME,A63023,2014-12-18,2014-12-17,12696.26,Bertrand Howell PhD,Expedita et ipsa.,accepted,delegation;client;internal;other;important
 MS Szpadel,M81913,2014-04-12,2014-04-08,11933.70,Sigurd Kihn,"Voluptatem exercitationem amet est at cupiditate.
Est consequatur alias aliquam.
Eaque soluta asperiores illum.
Voluptates ut deleniti voluptatem et et laborum molestiae.",rejected,Internal;client;Negligible;other
"Monterail, Inc.",M47616,2014-02-10,2014-02-07,19737.35,Estella Herman,Qui sunt sint.,rejected,""
 BP Biznes,B34878,2015-05-11,2015-05-09,18618.91,Janice McDermott,"Voluptatem est maiores enim recusandae rerum.
Nesciunt nisi doloribus quibusdam.",accepted,""
 Wesoła Gżegżółka,W94185,11/04/2012,11/01/2012,11921.59,Mr. Fredrick Beer,"Officia ratione soluta aut.
Voluptas delectus animi libero nam.
Architecto accusamus quia voluptates.
Possimus ducimus voluptas.",accepted,Other;Client;delegation;Negligible
Wesoła Gżegżółka,W34740,09/20/2012,09/12/2012,18853.93,Geovanny Upton,"Minima consequatur et in sed.
Et autem quas reiciendis ut quam cum quos.
Earum nemo commodi quae et.
Consequatur ex iure et ad reiciendis voluptatem.",rejected,negligible;delegation
 ACME,A94314,03-02-2013,25-01-2013,19979.91,Delores Cummings,Explicabo similique voluptatem repudiandae asperiores qui et.,other,internal
 KT Koty,K9117,02/11/2015,02/10/2015,17347.34,Miss Chad Osinski,In consequatur maxime aut quia vel qui beatae.,other,internal;Delegation;client
Ostrzy Entertainment,O93471,16-09-2012,14-09-2012,11599.75,Marcelina Kreiger,Deserunt harum autem maxime cum.,rejected,client;other;important;Delegation
 ACME,A32192,2013-04-21,2013-04-18,16908.18,Fabian Harris,Ad aut saepe error quia fugiat quis.,accepted,""
" Monterail, Inc.",M78255,10-09-2013,02-09-2013,15799.83,Lysanne Wehner DDS,Sunt expedita ullam.,other,client;internal;important;other
 Company X,C3453,04/03/2015,03/26/2015,16032.57,Arely Sporer,Suscipit tempore odit omnis quo sit fuga ut.,rejected,delegation
 Company X,C21402,09/03/2012,08/26/2012,16694.1,Hiram Schulist,Qui error sequi doloremque praesentium porro nostrum neque.,rejected,Client;internal;Important;Other;Negligible
KT Koty,K37395,2012-11-22,2012-11-22,10270.30,Alexys Cole,Dolore minus ut et labore nostrum.,accepted,internal;other;important
MS Szpadel,M43162,12-07-2013,10-07-2013,14853.19,Lenore Kuphal I,"Occaecati id numquam dolorem nisi et.
Similique odio aperiam rerum dolorum fugiat.",accepted,Client;negligible;important;Internal;Delegation
Company X,C99988,2013-06-04,2013-06-01,10411.47,Mallory Schultz,Placeat nisi vero.,accepted,other;client;negligible;delegation;Internal
Big Company 1,B90164,2013-09-14,2013-09-11,11756.52,Lois Schuster IV,Quis itaque quasi sit.,rejected,Other;internal;Negligible;Delegation
"Monterail, Inc.",M93333,25-02-2015,21-02-2015,19730.6,Ignacio Schmidt,Similique aspernatur perferendis et quia maxime quaerat.,accepted,delegation
Wesoła Gżegżółka,W4366,2012-12-14,2012-12-10,16130.82,Idella Schuster,Nostrum ex magni.,rejected,other;internal;important;Delegation;client
 Wesoła Gżegżółka,W78313,30-05-2013,25-05-2013,14177.29,Sylvan Boyer,"Fugiat delectus veritatis incidunt.
Ratione nemo delectus in et pariatur.
Veniam voluptates quos fuga totam aut.",accepted,Client;negligible;delegation
 BP Biznes,B82994,20-03-2015,12-03-2015,16265.21,Raegan Langworth,Corrupti consequatur praesentium iure atque et minus.,other,internal
 TT Internet,T75048,03-12-2014,30-11-2014,17110.72,Buck Wolff,Dicta porro sit enim.,other,delegation;Client;internal;important;Negligible
 Microsoft,M89712,05/15/2013,05/10/2013,15912.58,Elda Weimann,Ipsa aperiam officiis omnis cupiditate.,accepted,negligible;other
" Monterail, Inc.",M9530,10-10-2012,03-10-2012,17229.35,Miss Miller Bernhard,Quisquam voluptatem sequi ad reprehenderit unde.,rejected,client;important;other;internal
Ostrzy Entertainment,O42841,2012-10-10,2012-10-07,10802.29,Dr. Natalia Kiehn,Rerum est recusandae magni in totam.,other,internal
 MS Szpadel,M69891,2014-08-07,2014-08-03,13918.78,Vilma Cronin,"Reprehenderit incidunt eaque aut sed.
Vel enim accusantium.
Quia magnam et praesentium consequatur voluptas quo.",accepted,client;important;negligible;delegation;internal
 Wesoła Gżegżółka,W74156,2014-11-27,2014-11-25,16268.62,Fatima Padberg DDS,Expedita voluptates eos omnis.,accepted,client;Negligible
 BP Biznes,B12954,05/18/2013,05/15/2013,10979.31,Camille Powlowski I,Id atque explicabo dolores.,accepted,important;internal
 Company X,C44724,06/29/2014,06/28/2014,18180.39,Ed O'Kon,Qui assumenda voluptatem tempora.,other,Delegation
BP Biznes,B43625,08/07/2014,08/05/2014,11680.63,Elmo Kerluke MD,Voluptate et nihil accusamus quas.,other,client
 MS Szpadel,M9221,12/31/2014,12/31/2014,19496.24,Dr. Alta Blanda,"Qui cumque est aperiam.
Nihil minima nobis vero distinctio eligendi non.",rejected,other;client;delegation;Important
Company X,C94877,2013-11-14,2013-11-05,12826.77,Cordia Barrows,Sed occaecati assumenda laborum autem itaque ad.,accepted,internal;delegation
 TT Internet,T39267,29-12-2013,20-12-2013,10513.14,Mr. Alf Herman,Tempore omnis est quo quia et.,other,other;Client;Negligible;Delegation;internal
 SB Komputery,S46962,26-11-2012,24-11-2012,14029.77,Dr. Philip Luettgen,"Nam totam vero accusantium optio sint corrupti.
Quia id est laudantium.
Accusantium laboriosam saepe eligendi et nihil id.",rejected,important;negligible;client;other
MS Szpadel,M17817,10-07-2014,10-07-2014,17557.51,Karine Rosenbaum MD,"Ut quia velit reiciendis harum est suscipit molestias.
Rerum sit fugit beatae occaecati aut magni consequuntur.",rejected,Other;Important;Negligible;delegation;client
 Ostrzy Entertainment,O78193,2012-12-24,2012-12-18,18997.57,Bertram Gleason II,Quam ea corporis quisquam.,other,Delegation;Client;other;important
 Ostrzy Entertainment,O27009,06-10-2012,01-10-2012,13903.97,Norval Hamill,"Necessitatibus ipsum molestiae.
Velit veniam in fugit consequuntur.
Quia qui non dolor aut.
Dolores iste quisquam repellendus iure ea.",accepted,negligible;internal
MS Szpadel,M53037,03/31/2014,03/27/2014,12744.37,Lance Ratke,Ad animi velit tempora magnam.,rejected,important
 SB Komputery,S75063,2013-07-21,2013-07-13,15445.90,Theo Russel,"Ab tenetur alias labore magnam rem ipsum soluta.
Sint consequatur est.",accepted,internal;client;delegation
BP Biznes,B56487,10-08-2014,05-08-2014,11319.38,Monroe Baumbach,"Totam at quisquam consequatur quia doloremque qui.
Culpa laudantium nostrum.",rejected,client;internal;delegation;other;negligible
 KT Koty,K78312,12-01-2015,04-01-2015,17514.91,Silas Lockman,Accusantium et repudiandae.,other,important;Client;delegation
TT Internet,T74927,28-04-2015,19-04-2015,15550.60,Jonatan Schowalter III,Voluptas optio voluptates non voluptatem.,accepted,negligible;delegation;internal;client;other
